Question,Table,Type,Answer
What is the max F-measure achived?,R6946,aggregation,0.73
Which system has the worst recall?,R6946,aggregation,YodaQA
What is the precision of Xser?,R6946,related,0.74
What is the approach type of Automatic Keyword Extraction for Text Summarization in e-Newspapers?,R6947,normal,Statistical
"What is the implemenation name of ""Exploiting Category-Specific Information for Multi-Document Summarization""?",R6947,normal,SWING
"What are the metrics used by paper ""Using NMF-based text summarization to improve supervised and unsupervised classification""?",R6947,normal,"ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
What is the most common approach type used?,R6947,aggregation,Statistical
What kind of summary used by A Statistical Approach for Automatic Text Summarization by Extraction?,R6947,empty,
What are document types supported by Automatic Abstracting Research at Chemical Abstracts Service?,R6948,normal,Single document
What is the approch type of Summons?,R6948,related,Algebraic
What is the implementation of Generating Indicative-Informative Summaries with SumUM?,R6948,normal,SumUM
"What are the evaluation metrics of the paper ""Trainable, scalable summarization using robust NLP and machine learning""?",R6948,normal,"F-measure, Precision, Recall, Relative utility"
What is the summary usage of Automated text summarization and the SUMMARIST system?,R6948,normal,Generic
what approach type is taken by NeATS system?,R6948,related,Graph based
What is the most common approch type?,R6948,aggregation,Algebraic
