Term	Type	POS (most common)	WN2.0 Name	WordNet SenseKey	WN2.0 Synset	WordNet gloss	WordNet example usage
addition	abs	n	addition_n1	addition%1:06:00::	102587422	a component that is added to something to improve it; 	the addition of a bathroom was a major improvement; the addition of cinammon improved the flavor
addition	der	n	addition_n1	addition%1:06:00::	102587422	a component that is added to something to improve it; 	the addition of a bathroom was a major improvement; the addition of cinammon improved the flavor
additional	quality	adj	additional_s1	additional%5:00:00:added:00	300049502	existing or coming by way of addition; 	an additional problem; further information; there will be further delays; took more time
address	act	n	address_n1	address%1:10:04::	105961859	(computer science) the code that identifies where a piece of information is stored	
address	loc	n	address_n1	address%1:10:04::	105961859	(computer science) the code that identifies where a piece of information is stored	
addressed	state	adj	addressed_a1	addressed%3:00:00::	300053918	of mail; marked with a destination; 	I throw away all mail addressed to `resident'
adjust	act	v	adjust_v1	adjust%2:30:00::	200287086	alter or regulate so as to achieve accuracy or conform to a standard; 	Adjust the clock, please; correct the alignment of the front wheels
adult	obj	n	adult_n1	adult%1:18:00::	109000461	a fully developed person from maturity onward	
advantage	abs	n	advantage_n1	advantage%1:07:00::	104865412	the quality of having a superior or more favorable position; 	the experience gave him the advantage over me
affect	abs	v	affect_v1	affect%2:30:00::	200132263	have an effect upon; 	Will the new rules affect me?
affect	act	v	affect_v1	affect%2:30:00::	200132263	have an effect upon; 	Will the new rules affect me?
after	reltemp	r	later_r1	after%4:02:01::	400062236	happening at a time subsequent to a reference time; 	he apologized subsequently; he's going to the store but he'll be back here later; it didn't happen until afterward; two hours after that
afternoon	time	n	afternoon_n1	afternoon%1:28:00::	114307094	the part of the day between noon and evening; 	he spent a quiet afternoon in the park
again	?	r	again_r1	again%4:02:00::	400041407	anew; 	she tried again; they rehearsed the scene again
against	posn						
age	att	n	age_n1	age%1:07:00::	104675601	how long something has existed; 	it was replaced because of its age
aid	abs	v	help_v1	aid%2:41:00::	202472355	give help or assistance; be of service; 	Everyone helped out during the earthquake; Can you help me carry this table?; She never helps around the house
aid	act	v	help_v1	aid%2:41:00::	202472355	give help or assistance; be of service; 	Everyone helped out during the earthquake; Can you help me carry this table?; She never helps around the house
air	subst	n	air_n1	air%1:27:00::	113996249	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of; 	air pollution; a smell of chemicals in the air; open a window and let in some air; I need some fresh air
airplane	obj	n	plane_n1	airplane%1:06:00::	102599023	an aircraft that has a fixed wing and is powered by propellers or jets; 	the flight was delayed due to trouble with the airplane
airplane	trans	n	plane_n1	airplane%1:06:00::	102599023	an aircraft that has a fixed wing and is powered by propellers or jets; 	the flight was delayed due to trouble with the airplane
alcohol	subst	n	alcohol_n1	alcohol%1:13:00::	107408983	a liquor or brew containing alcohol as the active agent; 	alcohol (or drink) ruined him
alive	quality	adj	animated_a1	alive%3:00:04::	300124982	having life or vigor or spirit; 	an animated and expressive face; animated conversation; became very animated when he heard the good news
all	?	r	entirely_r1	all%4:02:00::	400007652	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); 	he was wholly convinced; entirely satisfied with the meal; it was completely different from what we expected; was completely at fault; a totally new situation; the directions were all wrong; it was not altogether her fault; an altogether new approach; a whole new idea
allow	act	v	let_v1	allow%2:41:00::	202350232	make it possible through a specific action or lack of action for something to happen; 	This permits the water to rush in; This sealed door won't allow the water come into the basement; This will permit the rain to run off
almost	?	r	almost_r1	almost%4:02:00::	400073817	((of actions or states) slightly short of or not quite accomplished; `near' is sometimes used informally for `nearly' and `most' is sometimes used informally for `almost'; 	the job is (just) about done; the baby was almost asleep when the alarm sounded; we're almost finished; the car all but ran her down; he nearly fainted; talked for nigh onto 2 hours; the recording is well-nigh perfect; virtually all the parties signed the contract; I was near exhausted by the run; most ever400073817
alone	val	r	only_r2	alone%4:02:00::	400008245	without any others being included or involved; 	was entirely to blame; a school devoted entirely to the needs of problem children; he works for Mr. Smith exclusively; did it solely for money; the burden of proof rests on the prosecution alone; a privilege granted only to him
along	posn	r	on_r1	along%4:02:01::	400069143	with a forward motion; 	we drove along admiring the view; the horse trotted along at a steady pace; the circus traveled on to the next city; move along; march on
already	reltemp	r	already_r1	already%4:02:00::	400032304	prior to a specified or implied time; 	she has already graduated
altering	der	n	fixing_n3	altering%1:04:00::	100651113	the sterilization of an animal; 	they took him to the vet for neutering
alternative	abs	n	alternative_n1	alternative%1:09:00::	105456118	one of a number of things from which only one can be chosen; 	what option did I have?; there no other alternative; my only choice is to refuse
although	?	r	though_r1	although%4:02:00::	400121141	despite the fact that; 	even though she knew the answer, she did not respond
always	reltemp	r	always_r1	always%4:02:00::	400019245	at all times; all the time and on every occasion; 	I will always be there to help you; always arrives on time; there is always some pollution in the air; ever hoping to strike it rich; ever busy
amazon	loc	n	virago_n2	amazon%1:18:02::	109166068	a large strong and aggressive woman	
amount	abs	n	amount_n1	amount%1:07:00::	104826612	how much of something is available; 	an adequate amount of food for four people
amphibian	animal	adj	amphibian_a1	amphibian%3:01:00::	302702863	relating to or characteristic of animals of the class Amphibia	
amphibian	living	adj	amphibian_a1	amphibian%3:01:00::	302702863	relating to or characteristic of animals of the class Amphibia	
amphibian	obj	adj	amphibian_a1	amphibian%3:01:00::	302702863	relating to or characteristic of animals of the class Amphibia	
analysis	abs	n	analysis_n1	analysis%1:04:00::	100598625	an investigation of the component parts of a whole and their relations in making up the whole	
analyze	act	v	study_v1	analyze%2:31:00::	200623929	consider in detail and subject to an analysis in order to discover essential features or meaning; 	analyze a sonnet by Shakespeare; analyze the evidence in a criminal trial; analyze your real motives
analyzed	state	adj	analyzed_a1	analyzed%3:00:00::	300392078	examined carefully and methodically; broken down for consideration of constituent parts; 	the analyzed data indicated surprising trends; a carefully analyzed poem can be like a dead butterfly pinned to a board
analyzing	der						
anchor	act	v	anchor_v1	anchor%2:35:01::	201265930	fix firmly and stably; 	anchor the lamppost in concrete
anchor	obj	v	anchor_v1	anchor%2:35:01::	201265930	fix firmly and stably; 	anchor the lamppost in concrete
anemometer	obj	n	wind_gage_n1	anemometer%1:06:00::	102617390	a gauge for recording the speed and direction of wind	
angled	state	adj	angled_s1	angled%5:00:00:angular:00	301980292	forming or set at an angle; 	angled parking
angled	val	adj	angled_s1	angled%5:00:00:angular:00	301980292	forming or set at an angle; 	angled parking
animal	animal	n	animal_n1	animal%1:03:00::	100012748	a living organism characterized by voluntary movement	
animal	living	n	animal_n1	animal%1:03:00::	100012748	a living organism characterized by voluntary movement	
animal	obj	n	animal_n1	animal%1:03:00::	100012748	a living organism characterized by voluntary movement	
another	?						
answer	abs	v	answer_v1	answer%2:32:00::	200789361	reply or respond to; 	She didn't want to answer; answer the question; We answered that we would accept the invitation
answer	act	v	answer_v1	answer%2:32:00::	200789361	reply or respond to; 	She didn't want to answer; answer the question; We answered that we would accept the invitation
ant	animal	n	ant_n1	ant%1:05:00::	102134375	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	
ant	insect	n	ant_n1	ant%1:05:00::	102134375	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	
ant	living	n	ant_n1	ant%1:05:00::	102134375	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	
ant	obj	n	ant_n1	ant%1:05:00::	102134375	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	
anus	bpart	n	arse_n2	anus%1:08:00::	105221124	excretory opening at the end of the alimentary canal	
anus	obj	n	arse_n2	anus%1:08:00::	105221124	excretory opening at the end of the alimentary canal	
any	?	r	any_r1	any%4:02:00::	400024554	to any degree or extent; 	it isn't any better
anything	?	n	anything_n1	anything%1:03:00::	100002342	a thing of any kind; 	do you have anything to declare?
anytime	reltemp						
apart	posn	r	apart_r1	apart%4:02:03::	400183329	separated or at a distance in place or position or time; 	These towns are many miles apart; stood with his legs apart; born two years apart
apparent	val	adj	evident_s1	apparent%5:00:00:obvious:00	301568015	clearly apparent or obvious to the mind or senses; 	the effects of the drought are apparent to anyone who sees the parched fields; evident hostility; manifest disapproval; patent advantages; made his meaning plain; it is plain that he is no reactionary; in plain view
appear	act	v	seem_v1	appear%2:39:00::	202071636	give a certain impression or have a certain outward aspect; 	She seems to be sleeping; This appears to be a very difficult problem; This project looks fishy; They appeared like people who had not eaten or slept for a long time
appearance	abs	n	appearance_n1	appearance%1:07:00::	104481540	outward or visible aspect of a person or thing	
appears	der						
appendix	abs	n	appendix_n1	appendix%1:10:00::	106002318	supplementary material that is collected and appended at the back of a book	
appendix	bpart	n	appendix_n1	appendix%1:10:00::	106002318	supplementary material that is collected and appended at the back of a book	
appendix	obj	n	appendix_n1	appendix%1:10:00::	106002318	supplementary material that is collected and appended at the back of a book	
apple	plant	n	apple_n1	apple%1:13:00::	107267116	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	
appliance	obj	n	gadget_n1	appliance%1:06:01::	102635826	a device that is very useful for a particular job	
application	abs	n	application_n1	application%1:10:00::	106110398	a verbal or written request for assistance or employment or admission to a school; 	December 31 is the deadline for applications
application	nom	n	application_n1	application%1:10:00::	106110398	a verbal or written request for assistance or employment or admission to a school; 	December 31 is the deadline for applications
applied	der	adj	applied_a1	applied%3:44:00::	302975708	that are used; 	an isotropic resonance shift...to lower applied fields
apply	act	v	use_v1	apply%2:34:00::	201123102	put into service; make work or employ (something) for a particular purpose or for its inherent or natural purpose; 	use your head!; we only use Spanish at home; I can't make use of this tool; Apply a magnetic field here; This thinking was applied to many projects; How do you utilize this tool?; I apply this rule to get good results; use the plastic bags to store the food; He doesn't know how to use a computer
applying	der						
appreciation	nom	n	appreciation_n1	appreciation%1:09:00::	105470957	understanding of the nature or meaning or quality or magnitude of something; 	he has a good grasp of accounting practices
approach	abs	v	approach_v1	approach%2:38:00::	201995535	move towards; 	We were approaching our destination; They are drawing near; The enemy army came nearer and nearer
approach	act	v	approach_v1	approach%2:38:00::	201995535	move towards; 	We were approaching our destination; They are drawing near; The enemy army came nearer and nearer
appropriate	act	adj	appropriate_a1	appropriate%3:00:00::	300139974	suitable for a particular person or place or condition etc; 	a book not appropriate for children; a funeral conducted the appropriate solemnity; it seems that an apology is appropriate
appropriate	val	adj	appropriate_a1	appropriate%3:00:00::	300139974	suitable for a particular person or place or condition etc; 	a book not appropriate for children; a funeral conducted the appropriate solemnity; it seems that an apology is appropriate
appropriately	adv	r	suitably_r1	appropriately%4:02:00::	400141436	in an appropriate manner; 	he was appropriately dressed
approximately	adv	r	about_r1	approximately%4:02:00::	400006660	(of quantities) imprecise but fairly close to correct; 	lasted approximately an hour; in just about a minute; he's about 30 years old; I've had about all I can stand; we meet about once a month; some forty people came; weighs around a hundred pounds; roughly $3,000; holds 3 gallons, more or less; 20 or so people were at the party
apron	obj	n	apron_n1	apron%1:06:00::	102636744	a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing	
arctic	loc	adj	arctic_a2	arctic%3:01:00::	302770523	of or relating to the Arctic; 	Arctic circle
arctic	quality	adj	arctic_a2	arctic%3:01:00::	302770523	of or relating to the Arctic; 	Arctic circle
area	att	n	area_n1	area%1:15:01::	107980485	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography); 	it was a mountainous area; Bible country
area	loc	n	area_n1	area%1:15:01::	107980485	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography); 	it was a mountainous area; Bible country
arise	act	v	arise_v1	arise%2:42:00::	202546120	come into existence; take on form or shape; 	A new religious movement originated in that country; a love that sprang up from friendship; the idea for the book grew out of a short story; An interesting phenomenon uprose
arizona	loc						
arm	bpart	n	arm_n1	arm%1:08:00::	105245410	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	
arm	obj	n	arm_n1	arm%1:08:00::	105245410	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	
around	prep	r	around_r1	around%4:02:01::	400071940	in the area or vicinity; 	a few spectators standing about; hanging around; waited around for the next flight
arranging	der	n	arranging_n1	arranging%1:04:00::	100883218	the act of arranging and adapting a piece of music	
arrive	act	v	come_v2	arrive%2:38:00::	201947900	reach a destination; arrive by movement or progress; 	She arrived home at 7 o'clock; She didn't get to Chicago until after midnight
arriving	der						
articulate	act	adj	articulate_a1	articulate%3:00:00::	300155259	expressing yourself easily or characterized by clear expressive language; 	articulate speech; an articulate orator; articulate beings
articulate	quality	adj	articulate_a1	articulate%3:00:00::	300155259	expressing yourself easily or characterized by clear expressive language; 	articulate speech; an articulate orator; articulate beings
ash	obj	n	ash_n1	ash%1:27:01::	113926676	the residue that remains when something is burned	
aspect	abs	n	aspect_n1	aspect%1:09:00::	105511743	a distinct feature or element in a problem; 	he studied every facet of the question
assembly	abs	n	assembly_n1	assembly%1:06:00::	102654494	a group of machine parts that fit together to form a self-contained unit	
assessment	abs	n	assessment_n1	assessment%1:09:00::	105400988	the classification of someone or something with respect to its worth	
assist	act	v	help_v1	assist%2:41:02::	202472355	give help or assistance; be of service; 	Everyone helped out during the earthquake; Can you help me carry this table?; She never helps around the house
associate	act	v	associate_v1	associate%2:31:00::	200689759	make a logical or causal connection; 	I cannot connect these two pieces of evidence in my mind; colligate these facts; I cannot relate these events at all
associate	human	v	associate_v1	associate%2:31:00::	200689759	make a logical or causal connection; 	I cannot connect these two pieces of evidence in my mind; colligate these facts; I cannot relate these events at all
association	nom	n	association_n1	association%1:14:00::	107560389	a formal organization of people or groups of people; 	he joined the Modern Language Association
astronaut	human	n	spaceman_n1	astronaut%1:18:00::	109192375	a person trained to travel in a spacecraft; 	the Russians called their astronauts cosmonauts
astronomy	abs	n	astronomy_n1	astronomy%1:09:00::	105731244	the branch of physics that studies celestial bodies and the universe as a whole	
at	prep	n	at_n2	at%1:23:00::	112909239	100 at equal 1 kip	
atlantic	loc						
atmosphere	abs	n	atmosphere_n1	atmosphere%1:26:01::	113697183	a particular environment or surrounding influence; 	there was an atmosphere of excitement
atop	prep	r	atop_r1	atop%4:02:00::	400279095	on, to, or at the top	
attach	act	v	attach_v1	attach%2:35:01::	201257892	cause to be attached	
attempt	abs	v	try_v1	attempt%2:41:00::	202454930	make an effort or attempt; 	He tried to shake off his fears; The infant had essayed a few wobbly steps; The police attempted to stop the thief; He sought to improve himself; She always seeks to do good in the world
attempt	act	v	try_v1	attempt%2:41:00::	202454930	make an effort or attempt; 	He tried to shake off his fears; The infant had essayed a few wobbly steps; The police attempted to stop the thief; He sought to improve himself; She always seeks to do good in the world
attempting	der						
attitude	abs	n	attitude_n1	attitude%1:09:00::	105817574	a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways; 	he had the attitude that work was fun
attract	act	v	attract_v1	attract%2:35:00::	201463020	direct toward itself or oneself by means of some psychological power or physical attributes; 	Her good looks attract the stares of many men; The ad pulled in many potential customers; This pianist pulls huge crowds; The store owner was happy that the ad drew in many new customers
attracted	state						
attraction	nom	n	attraction_n1	attraction%1:19:00::	110688069	the force by which one object attracts another	
attribute	abs	v	attribute_v1	attribute%2:31:00::	200702302	attribute or credit to; 	We attributed this quotation to Shakespeare; People impute great cleverness to cats
auditory	quality	adj	audile_a1	auditory%3:01:00::	302734782	of or relating to the process of hearing; 	auditory processing; an audile person
august	?	adj	grand_s2	august%5:00:00:noble:02	301542090	of or befitting a lord; 	heir to a lordly fortune; of august lineage
availability	abs	n	availability_n1	availability%1:07:00::	104518979	the quality of being at hand when needed	
available	quality	adj	available_a1	available%3:00:00::	300186909	obtainable or accessible and ready for use or service; 	kept a fire extinguisher available; much information is available through computers; available in many colors; the list of available candidates is unusually long
average	quality	adj	average_s1	average%5:00:02:normal:01	301544898	approximating the statistical norm or average or expected value; 	the average income in New England is below that of the nation; of average height for his age; the mean annual rainfall
avoid	act	v	avoid_v1	avoid%2:32:00::	200785083	stay clear from; keep away from; keep out of the way of someone or something; 	Her former friends now avoid her
avoiding	der						
aware	quality	adj	mindful_a1	aware%3:00:04::	301914048	bearing in mind; attentive to; 	ever mindful of her health; mindful of his responsibilities; mindful of these criticisms, I shall attempt to justify my action
away	prep	r	away_r1	away%4:02:00::	400235869	from a particular thing or place or position (`forth' is obsolete); 	ran away from the lion; wanted to get away from there; sent the children away to boarding school; the teacher waved the children away from the dead animal; went off to school; they drove off; go forth and preach
ax	obj	n	axe_n1	ax%1:06:00::	102668356	an edge tool with a heavy bladed head mounted across a handle	
ax	tool	n	axe_n1	ax%1:06:00::	102668356	an edge tool with a heavy bladed head mounted across a handle	
axis	abs	n	axis_n1	axis%1:09:00::	105653839	a straight line through a body or figure that satisfies certain conditions	
axle	obj	n	axle_n1	axle%1:06:00::	102669073	a shaft on which a wheel rotates	
b	?	n	b_n6	b%1:23:00::	112847963	(physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter	
baby	human	n	baby_n1	baby%1:18:00::	109201456	a very young child (birth to 1 year) who has not yet begun to walk or talk; 	isn't she too young to have a baby?
back	bpart	r	back_r1	back%4:02:04::	400076044	in or to or toward a former location; 	she went back to her parents' house
back	posn	r	back_r1	back%4:02:04::	400076044	in or to or toward a former location; 	she went back to her parents' house
background	abs	n	background_n1	background%1:07:00::	104672981	a person's social heritage: previous experience or training; 	he is a lawyer with a sports background
background	posn	n	background_n1	background%1:07:00::	104672981	a person's social heritage: previous experience or training; 	he is a lawyer with a sports background
bacterium	living	n	bacteria_n1	bacterium%1:05:00::	101274580	(microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered plants	
bacterium	obj	n	bacteria_n1	bacterium%1:05:00::	101274580	(microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered plants	
bag	obj	n	bag_n1	bag%1:06:00::	102676701	a flexible container with a single opening; 	he stuffed his laundry into a large bag
balance	tool	n	balance_n1	balance%1:26:00::	113204411	a state of equilibrium	
balanced	state	adj	balanced_a1	balanced%3:00:00::	300855378	being in a state of proper balance or equilibrium; 	the carefully balanced seesaw; a properly balanced symphony orchestra; a balanced assessment of intellectual and cultural history; a balanced blend of whiskeys; the educated man shows a balanced development of all his powers
ball	obj	n	ball_n1	ball%1:06:01::	102681909	round object that is hit or thrown or kicked in games; 	the ball travelled 90 mph on his serve; the mayor threw out the first ball; the ball rolled into the corner pocket
banana	food	n	banana_n1	banana%1:20:00::	111604033	any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits	
banana	living	n	banana_n1	banana%1:20:00::	111604033	any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits	
banana	plant	n	banana_n1	banana%1:20:00::	111604033	any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits	
bandage	obj	n	bandage_n1	bandage%1:06:00::	102688403	a piece of soft material that covers and protects an injured part of the body	
bang	sound	v	slam_v2	bang%2:35:00::	201204594	strike violently; 	slam the ball
bar	abs	n	bar_n1	bar%1:06:04::	102699391	a room or establishment where alcoholic drinks are served over a counter; 	he drowned his sorrows in whiskey at the bar
bar	obj	n	bar_n1	bar%1:06:04::	102699391	a room or establishment where alcoholic drinks are served over a counter; 	he drowned his sorrows in whiskey at the bar
barometer	obj	n	barometer_n1	barometer%1:06:00::	102696685	an instrument that measures atmospheric pressure	
barometer	tool	n	barometer_n1	barometer%1:06:00::	102696685	an instrument that measures atmospheric pressure	
base	act	v	base_v1	base%2:31:00::	200616670	use as a basis for; found on; 	base a claim on some observation
base	loc	v	base_v1	base%2:31:00::	200616670	use as a basis for; found on; 	base a claim on some observation
base	quality	v	base_v1	base%2:31:00::	200616670	use as a basis for; found on; 	base a claim on some observation
based	state	adj	based_a1	based%3:44:00::	302976224	being derived from (usually followed by `on' or `upon'); 	a film based on a best-selling novel
basic	quality	adj	basic_a1	basic%3:00:00::	301794738	pertaining to or constituting a base or basis; 	a basic fact; the basic ingredients; basic changes in public opinion occur because of changes in priorities
basing	der						
basis	abs	n	basis_n1	basis%1:24:00::	113011609	a relation that provides the foundation for something; 	they were on a friendly footing; he worked on an interim basis
bat	animal	v	bat_v1	bat%2:35:01::	201372585	strike with, or as if with a baseball bat; 	bat the ball
bath	obj	n	bath_n1	bath%1:06:02::	102708242	a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it); 	she soaked the etching in an acid bath
bathroom	loc	n	bathroom_n1	bathroom%1:06:00::	102709425	a room (as in a residence) containing a bath or shower and usually a washbasin and toilet	
battery	obj	n	battery_n1	battery%1:14:02::	107879391	group of guns or missile launchers operated together at one place	
beach	loc	n	beach_n1	beach%1:17:00::	108643631	an area of sand sloping down to the water of a sea or lake	
beagle	animal	n	beagle_n1	beagle%1:05:00::	102005361	a small short-legged smooth-coated breed of hound	
beak	bpart	n	beak_n1	beak%1:05:01::	101679219	beaklike mouth of animals other than birds (e.g., turtles)	
bean	plant	n	bean_n1	bean%1:13:00::	107253196	any of various edible seeds of plants of the family Leguminosae	
bear	animal	v	bear_v1	bear%2:42:01::	202552384	have; 	bear a resemblance; bear a signature
beauty	quality	n	beauty_n1	beauty%1:07:00::	104490280	the qualities that give pleasure to the senses	
because	?						
become	act	v	become_v1	become%2:30:00::	200144029	enter or assume a certain state or condition; 	He became annoyed when he heard the bad news; It must be getting more serious; her face went red with anger; She went into ecstasy; Get going!
bed	obj	n	bed_n1	bed%1:06:00::	102719813	a piece of furniture that provides a place to sleep; 	he sat on the edge of the bed; the room had only a bed and chair
bee	animal	n	bee_n1	bee%1:05:00::	102121744	any of numerous hairy-bodied insects including social and solitary species	
beetle	animal	n	beetle_n1	beetle%1:05:00::	102079604	insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings	
before	reltemp	r	before_r1	before%4:02:03::	400061972	earlier in time; previously; 	I had known her before; as I said before; he called me the day before but your call had come even earlier; her parents had died four years earlier; I mentioned that problem earlier
begin	act	v	begin_v1	begin%2:30:00::	200334609	take the first step or steps in carrying out an action; 	We began working at dawn; Who will start?; Get working as soon as the sun rises!; The first tourists began to arrive in Cambodia; He began early in the day; Let's get down to work now
beginning	abs	n	beginning_n1	beginning%1:11:00::	106843132	the event consisting of the start of something; 	the beginning of the war
beginning	der	n	beginning_n1	beginning%1:11:00::	106843132	the event consisting of the start of something; 	the beginning of the war
behavior	abs	n	behavior_n1	behavior%1:04:00::	101153161	manner of acting or conducting yourself	
being	der	v	be_v1		202526983	have the quality of being; (copula, used with an adjective or a predicate noun); 	John is rich; This is not a good answer
being	living	v	be_v1		202526983	have the quality of being; (copula, used with an adjective or a predicate noun); 	John is rich; This is not a good answer
bell	obj	n	bell_n1	bell%1:06:00::	102725348	a hollow device made of metal that makes a ringing sound when struck	
belong	act	v	belong_v1	belong%2:40:00::	202235204	be owned by; be in the possession of; 	This book belongs to me
below	posn	r	below_r1	below%4:02:01::	400080765	in or to a place that is lower	
benchmark	abs	n	benchmark_n1	benchmark%1:10:01::	106815895	a standard by which something can be measured or judged; 	his painting sets the benchmark of quality
benefit	abs	n	benefit_n1	benefit%1:21:00::	112540710	financial assistance in time of need	
benefit	act	n	benefit_n1	benefit%1:21:00::	112540710	financial assistance in time of need	
best	quality	adj	best_a1	best%3:00:00::	300228901	(superlative of `good') having the most positive qualities; 	the best film of the year; the best solution; the best time for planting; wore his best suit
better	comp	adj	better_a1	better%3:00:00::	300232037	(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another; 	You're a better man than I am, Gunga Din; a better coat; a better type of car; a suit with a better fit; a better chance of success; produced a better mousetrap; she's better in math than in history
between	posn	r	between_r1	between%4:02:03::	400505830	in the interval; 	dancing all the dances with little rest between
bicycle	obj	n	bicycle_n1	bicycle%1:06:00::	102734941	a wheeled vehicle that has two wheels and is moved by foot pedals	
