HABIT Behavior affecting health		HEALTH EFFECT Is the habit good, bad, or neutral for health? 	
using a telephone	is	neutral	for health
using the computer	is	neutral	for health
using the internet	is	neutral	for health
using tobacco	is	bad	for health
viewing television	is	neutral	for health
viewing tv	is	neutral	for health
walking	is	good	for health
walking around	is	good	for health
watching a video	is	neutral	for health
watching movies	is	neutral	for health
watching television	is	neutral	for health
watching tv	is	neutral	for health
watching videos	is	neutral	for health
wearing contacts	is	neutral	for health
wearing glasses	is	neutral	for health
wearing helmets	is	good	for health
working	is	neutral	for health
worrying	is	bad	for health
writing	is	neutral	for health
writing a book	is	neutral	for health
writing books	is	neutral	for health
writing poetry	is	neutral	for health
